Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
169,5.7,3.8,1.7,0.3,Iris-setosa
170,5.1,3.8,1.5,0.3,Iris-setosa
171,5.4,3.4,1.7,0.2,Iris-setosa
172,5.1,3.7,1.5,0.4,Iris-setosa
173,4.6,3.6,1,0.2,Iris-setosa
174,5.1,3.3,1.7,0.5,Iris-setosa
175,4.8,3.4,1.9,0.2,Iris-setosa
176,5,3,1.6,0.2,Iris-setosa
177,5,3.4,1.6,0.4,Iris-setosa
178,5.2,3.5,1.5,0.2,Iris-setosa
179,5.2,3.4,1.4,0.2,Iris-setosa
180,4.7,3.2,1.6,0.2,Iris-setosa
181,4.8,3.1,1.6,0.2,Iris-setosa
182,5.4,3.4,1.5,0.4,Iris-setosa
183,5.2,4.1,1.5,0.1,Iris-setosa
184,5.5,4.2,1.4,0.2,Iris-setosa
185,4.9,3.1,1.5,0.1,Iris-setosa
186,5,3.2,1.2,0.2,Iris-setosa
187,5.5,3.5,1.3,0.2,Iris-setosa
188,4.9,3.1,1.5,0.1,Iris-setosa
189,4.4,3,1.3,0.2,Iris-setosa
190,5.1,3.4,1.5,0.2,Iris-setosa
191,5,3.5,1.3,0.3,Iris-setosa
192,4.5,2.3,1.3,0.3,Iris-setosa
193,4.4,3.2,1.3,0.2,Iris-setosa
194,5,3.5,1.6,0.6,Iris-setosa
195,5.1,3.8,1.9,0.4,Iris-setosa
196,4.8,3,1.4,0.3,Iris-setosa
197,5.1,3.8,1.6,0.2,Iris-setosa
198,4.6,3.2,1.4,0.2,Iris-setosa
199,5.3,3.7,1.5,0.2,Iris-setosa
200,5,3.3,1.4,0.2,Iris-setosa
201,7,3.2,4.7,1.4,Iris-versicolor
202,6.4,3.2,4.5,1.5,Iris-versicolor
203,6.9,3.1,4.9,1.5,Iris-versicolor
204,5.5,2.3,4,1.3,Iris-versicolor
205,6.5,2.8,4.6,1.5,Iris-versicolor
206,5.7,2.8,4.5,1.3,Iris-versicolor
207,6.3,3.3,4.7,1.6,Iris-versicolor
208,4.9,2.4,3.3,1,Iris-versicolor
209,6.6,2.9,4.6,1.3,Iris-versicolor
210,5.2,2.7,3.9,1.4,Iris-versicolor
211,5,2,3.5,1,Iris-versicolor
212,5.9,3,4.2,1.5,Iris-versicolor
213,6,2.2,4,1,Iris-versicolor
214,6.1,2.9,4.7,1.4,Iris-versicolor
215,5.6,2.9,3.6,1.3,Iris-versicolor
216,6.7,3.1,4.4,1.4,Iris-versicolor
217,5.6,3,4.5,1.5,Iris-versicolor
218,5.8,2.7,4.1,1,Iris-versicolor
219,6.2,2.2,4.5,1.5,Iris-versicolor
220,5.6,2.5,3.9,1.1,Iris-versicolor
221,5.9,3.2,4.8,1.8,Iris-versicolor
222,6.1,2.8,4,1.3,Iris-versicolor
223,6.3,2.5,4.9,1.5,Iris-versicolor
224,6.1,2.8,4.7,1.2,Iris-versicolor
225,6.4,2.9,4.3,1.3,Iris-versicolor
226,6.6,3,4.4,1.4,Iris-versicolor
227,6.8,2.8,4.8,1.4,Iris-versicolor
228,6.7,3,5,1.7,Iris-versicolor
229,6,2.9,4.5,1.5,Iris-versicolor
230,5.7,2.6,3.5,1,Iris-versicolor
231,5.5,2.4,3.8,1.1,Iris-versicolor
232,5.5,2.4,3.7,1,Iris-versicolor
233,5.8,2.7,3.9,1.2,Iris-versicolor
234,6,2.7,5.1,1.6,Iris-versicolor
235,5.4,3,4.5,1.5,Iris-versicolor
236,6,3.4,4.5,1.6,Iris-versicolor
237,6.7,3.1,4.7,1.5,Iris-versicolor
238,6.3,2.3,4.4,1.3,Iris-versicolor
239,5.6,3,4.1,1.3,Iris-versicolor
240,5.5,2.5,4,1.3,Iris-versicolor
241,5.5,2.6,4.4,1.2,Iris-versicolor
242,6.1,3,4.6,1.4,Iris-versicolor
243,5.8,2.6,4,1.2,Iris-versicolor
244,5,2.3,3.3,1,Iris-versicolor
245,5.6,2.7,4.2,1.3,Iris-versicolor
246,5.7,3,4.2,1.2,Iris-versicolor
247,5.7,2.9,4.2,1.3,Iris-versicolor
248,6.2,2.9,4.3,1.3,Iris-versicolor
249,5.1,2.5,3,1.1,Iris-versicolor
250,5.7,2.8,4.1,1.3,Iris-versicolor
251,6.3,3.3,6,2.5,Iris-virginica
252,5.8,2.7,5.1,1.9,Iris-virginica
253,7.1,3,5.9,2.1,Iris-virginica
254,6.3,2.9,5.6,1.8,Iris-virginica
255,6.5,3,5.8,2.2,Iris-virginica
256,7.6,3,6.6,2.1,Iris-virginica
257,4.9,2.5,4.5,1.7,Iris-virginica
258,7.3,2.9,6.3,1.8,Iris-virginica
259,6.7,2.5,5.8,1.8,Iris-virginica
260,7.2,3.6,6.1,2.5,Iris-virginica
261,6.5,3.2,5.1,2,Iris-virginica
262,6.4,2.7,5.3,1.9,Iris-virginica
263,6.8,3,5.5,2.1,Iris-virginica
264,5.7,2.5,5,2,Iris-virginica
265,5.8,2.8,5.1,2.4,Iris-virginica
266,6.4,3.2,5.3,2.3,Iris-virginica
267,6.5,3,5.5,1.8,Iris-virginica
268,7.7,3.8,6.7,2.2,Iris-virginica
269,7.7,2.6,6.9,2.3,Iris-virginica
270,6,2.2,5,1.5,Iris-virginica
271,6.9,3.2,5.7,2.3,Iris-virginica
272,5.6,2.8,4.9,2,Iris-virginica
273,7.7,2.8,6.7,2,Iris-virginica
274,6.3,2.7,4.9,1.8,Iris-virginica
275,6.7,3.3,5.7,2.1,Iris-virginica
276,7.2,3.2,6,1.8,Iris-virginica
277,6.2,2.8,4.8,1.8,Iris-virginica
278,6.1,3,4.9,1.8,Iris-virginica
279,6.4,2.8,5.6,2.1,Iris-virginica
280,7.2,3,5.8,1.6,Iris-virginica
281,7.4,2.8,6.1,1.9,Iris-virginica
282,7.9,3.8,6.4,2,Iris-virginica
283,6.4,2.8,5.6,2.2,Iris-virginica
284,6.3,2.8,5.1,1.5,Iris-virginica
285,6.1,2.6,5.6,1.4,Iris-virginica
286,7.7,3,6.1,2.3,Iris-virginica
287,6.3,3.4,5.6,2.4,Iris-virginica
288,6.4,3.1,5.5,1.8,Iris-virginica
289,6,3,4.8,1.8,Iris-virginica
290,6.9,3.1,5.4,2.1,Iris-virginica
291,6.7,3.1,5.6,2.4,Iris-virginica
292,6.9,3.1,5.1,2.3,Iris-virginica
293,5.8,2.7,5.1,1.9,Iris-virginica
294,6.8,3.2,5.9,2.3,Iris-virginica
295,6.7,3.3,5.7,2.5,Iris-virginica
296,6.7,3,5.2,2.3,Iris-virginica
297,6.3,2.5,5,1.9,Iris-virginica
298,6.5,3,5.2,2,Iris-virginica
299,6.2,3.4,5.4,2.3,Iris-virginica
300,5.9,3,5.1,1.8,Iris-virginica
